"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","13","Avoid excessively long variable names like START_HOMEACTIVITY","Naming Rules","LongVariable"
"2","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","16","Avoid excessively long variable names like savedInstanceState","Naming Rules","LongVariable"
"3","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","16","Parameter 'savedInstanceState' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","20","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","25","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"7","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","28","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","32","Local variable 'intent' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","40","Parameter 'event' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","40","Parameter 'keyCode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","43","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"12","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","43","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"13","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreen.java","3","45","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"14","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Type Resolution Rules","UnusedImports"
"15","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Type Resolution Rules","UnusedImports"
"16","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","4","5","Avoid unused imports such as 'android.content.Context'","Type Resolution Rules","UnusedImports"
"17","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","4","5","Avoid unused imports such as 'android.content.Context'","Type Resolution Rules","UnusedImports"
"18","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"20","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","14","Avoid excessively long variable names like savedInstanceState","Naming Rules","LongVariable"
"21","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","14","Parameter 'savedInstanceState' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","25","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"23","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","30","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"24","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","30","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"25","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","5","32","Found 'DU'-anomaly for variable 'formatedString' (lines '32'-'60').","Controversial Rules","DataflowAnomalyAnalysis"
"26","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","32","Local variable 'formatedString' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","35","Local variable 'arr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"28","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","40","Avoid variables with short names like j","Naming Rules","ShortVariable"
"29","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","40","Local variable 'j' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"30","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","40","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"31","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","41","Local variable 'str' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"32","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","53","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"33","com.splashscreen.activities","src/com/splashscreen/activities/SplashScreenTestActivity.java","3","58","Avoid returning from a finally block","Basic Rules","ReturnFromFinallyBlock"
